folder_name,image_count,first_image,cam_id,event_datetime,contexto,pessoas,comportamentos,label,avaliacao,scenario_type,real,predict
event_20250402_133726_41ca0095,8,motion_detected/event_20250402_133726_41ca0095/0001_6890_20250219_153816_frame_20250402_133726_000010.jpg,6890,2025-02-19 15:38:16,"Ambiente interno, provavelmente uma garagem ou estacionamento coberto. Dia, iluminação artificial adequada.","Uma pessoa é vista caminhando na área, carregando uma pasta ou bolsa. Dois veículos estão estacionados. A pessoa não interage com os veículos estacionados e parece estar saindo do local.",Nenhum comportamento suspeito observado. A pessoa parece estar saindo normalmente do local.,Câmera 08 e data/hora.,"**Não**, nenhuma atividade suspeita foi observada na sequência de imagens. A pessoa detectada parece estar simplesmente saindo do local.",camera_analyzer_prompt_external_street,False,False
event_20250402_142333_c72d52a0,9,motion_detected/event_20250402_142333_c72d52a0/0001_6890_20250219_153905_frame_20250402_142332_000010.jpg,6890,2025-02-19 15:39:05,"Ambiente externo, dia com boa iluminação, garagem/estacionamento frontal de um imóvel.","Uma pessoa é vista saindo do imóvel e caminhando em direção à rua, carregando uma pasta ou bolsa. Dois carros estão estacionados na garagem.",Nenhum comportamento suspeito observado. A pessoa parece estar saindo normalmente do imóvel.,Câmera 08 e data/hora.,"**Não**, nenhuma ação suspeita foi detectada. A cena aparenta ser de alguém saindo de casa ou do trabalho.",camera_analyzer_prompt_external_street,False,False
event_20250408_154828_92f9ba46,3,motion_detected/event_20250408_154828_92f9ba46/0000_stand_20250408_154828_frame.jpg,stand,2025-04-08 15:48:28,"Ambiente interno, loja, dia, iluminação artificial adequada. Parece ser uma ótica, com displays de óculos nas paredes.","Uma pessoa, vestindo um colete de segurança verde-limão por cima de outras roupas.  O indivíduo permanece parado perto de um display, olhando ao redor.","Nenhum comportamento suspeito explicitamente observado nestes frames. O indivíduo não interage com os produtos nem demonstra atitudes furtivas ou agressivas.  A simples presença com um colete de segurança pode ser comum em alguns contextos de trabalho, não necessariamente indicando risco.",CAM 1,"**Não**,  Nenhum comportamento de risco claro é identificado nos frames fornecidos.  A postura do indivíduo pode ser interpretada como observando os produtos ou o ambiente, sem indícios de intenção criminosa até o momento.  Monitoramento adicional é recomendado para avaliar se surge algum comportamento suspeito.",camera_analyzer_prompt_internal_closed,False,False
event_20250403_113340_c77d7f02,6,motion_detected/event_20250403_113340_c77d7f02/0001_7647_20250307_134155_frame_20250403_113340_000088.jpg,7647,2025-03-07 13:41:55,"Ambiente externo, dia, iluminação clara. Rua com árvores e um muro/grade, possivelmente residencial ou comercial, com carros estacionados. A câmera parece estar posicionada na fachada de um imóvel, voltada para a esquerda.",Vários carros estacionados e um carro branco parado próximo à câmera durante toda a sequência. Não há pessoas visíveis fora dos veículos.,Nenhum comportamento suspeito observado. Os carros estacionados permanecem no mesmo lugar e o carro branco também não realiza nenhuma ação que possa ser considerada suspeita.,"intelbras, frente esquerda, data e hora.","**Não**, nenhum comportamento suspeito foi observado nas imagens.",camera_analyzer_prompt_external_street,False,False
event_20250410_145304_58dfd8c0,15,motion_detected/event_20250410_145304_58dfd8c0/0000_climbing-wall_20250410_145304_frame.jpg,climbing-wall,2025-04-10 14:53:04,"Ambiente externo, noite, iluminação artificial adequada, portão de entrada de uma residência ou pequeno estabelecimento.","Uma pessoa visível, nenhum veículo. A pessoa pula o portão da propriedade.","Uma pessoa pula o portão da propriedade, configurando invasão.",Intelbras,"**Sim**, Invasão de propriedade.",camera_analyzer_prompt_external_street,True,True
event_20250408_154827_75a2a6c1,5,motion_detected/event_20250408_154827_75a2a6c1/0000_walk_20250408_154827_frame.jpg,walk,2025-04-08 15:48:27,"Ambiente interno, aparentemente uma loja, possivelmente de ótica, com iluminação artificial. Dia, pela data e hora na imagem.","Duas pessoas inicialmente. Uma terceira pessoa entra na cena e conversa com uma das que estavam presentes, que parece ser um funcionário. A primeira pessoa veste um colete verde e observa os produtos expostos (óculos), aparentemente sem interagir diretamente com eles ou com as outras pessoas por um breve período.","Nenhum comportamento explicitamente suspeito é observado. A pessoa com o colete observa os produtos, o que é comum em uma loja. A interação das outras duas pessoas parece normal.",CAM 1,"**Não**, não há ações que indiquem risco imediato à segurança ou patrimônio. A situação aparenta ser comum dentro de um comércio.",camera_analyzer_prompt_internal_closed,True,False
event_20250402_142629_1e214b45,16,motion_detected/event_20250402_142629_1e214b45/0001_6888_20250219_153904_frame_20250402_142629_000001.jpg,6888,2025-02-19 15:39:04,"Ambiente interno de um elevador. Dia, iluminação artificial adequada.","Inicialmente, uma pessoa dentro do elevador. Posteriormente, mais uma pessoa entra. Ambas saem juntas.",Nenhum comportamento de risco observado. As pessoas parecem estar apenas utilizando o elevador normalmente.,Camera 06,"Não, nenhum comportamento suspeito foi identificado nas imagens. As pessoas entram e saem do elevador de forma típica.",camera_analyzer_prompt_internal_closed,False,False
event_20250408_154827_fbf1558e,3,motion_detected/event_20250408_154827_fbf1558e/0000_lying_down_20250408_154827_frame.jpg,lying,,"Ambiente interno de uma loja, durante o dia com boa iluminação.","Duas pessoas visíveis. Uma parece estar agachada ou se abaixando no corredor central da loja, enquanto outra está em pé no fundo, perto do balcão.  Na última imagem, a pessoa que estava agachada está deitada no chão.","Uma pessoa se abaixa e depois deita no chão do corredor da loja, o que é um comportamento incomum e pode indicar um problema de saúde ou uma situação de perigo. A outra pessoa no fundo não parece reagir de forma visível. Não há sinais claros de agressão, roubo ou vandalismo.",CH8 e data/hora 31-10-2014 17:52:45 - 17:52:47.,"**Sim**, a queda repentina da pessoa no chão sugere um possível problema de saúde ou outra emergência, representando um risco à sua segurança. A falta de reação imediata da outra pessoa presente aumenta a preocupação.  A possibilidade de um evento criminoso, embora não evidente, não pode ser descartada com as informações disponíveis.",camera_analyzer_prompt_internal_closed,True,True
event_20250403_102654_82623f65,6,motion_detected/event_20250403_102654_82623f65/0001_17204_20250307_002852_frame_20250403_102654_000004.jpg,17204,2025-03-07 00:28:52,"Ambiente externo, noite, iluminação artificial presente, parece ser a entrada/estacionamento frontal de uma residência, com grade e portão.","Nenhuma pessoa ou veículo visível nas imagens fornecidas, exceto um objeto coberto por uma lona, possivelmente um veículo. Um veículo com luz de freio acesa é visto brevemente passando na rua ao fundo na primeira imagem.",Nenhum comportamento suspeito observado.,"Intelbras, FRENTE L.D.","**Não**, nenhum comportamento de risco foi observado nas imagens.",camera_analyzer_prompt_external_street,False,False
event_20250403_112220_0f05ffe1,6,motion_detected/event_20250403_112220_0f05ffe1/0001_6993_20250307_101724_frame_20250403_112220_000094.jpg,6993,2025-03-07 10:17:24,"Ambiente externo, dia, iluminação natural. A câmera parece estar obstruída por vegetação, focando em folhas e um caule, possivelmente próximo a uma parede. Não é possível visualizar a rua.",Nenhuma pessoa ou veículo visível.,Nenhum comportamento de risco observável devido à obstrução da câmera.,"""Camera 10"" e data/hora.","**Não**, a câmera está obstruída e não permite a avaliação da cena para identificar potenciais riscos. A vegetação impede a visualização da rua, invalidando a análise de segurança.",camera_analyzer_prompt_external_street,False,False
