folder_name,image_count,first_image,cam_id,event_datetime,contexto,pessoas,comportamentos,label,avaliacao,scenario_type,real,predict
event_20250402_133726_41ca0095,8,motion_detected/event_20250402_133726_41ca0095/0001_6890_20250219_153816_frame_20250402_133726_000010.jpg,6890,2025-02-19 15:38:16,"Estacionamento coberto, dia, iluminação natural.",Uma pessoa visível caminhando pelo estacionamento.,"A pessoa está apenas transitando, sem interação suspeita com veículos ou áreas restritas.",Data e hora visíveis.,"**Não**, a pessoa parece estar apenas passando pelo local sem comportamento suspeito.",camera_analyzer_prompt_internal_to_outside,False,False
event_20250402_142333_c72d52a0,9,motion_detected/event_20250402_142333_c72d52a0/0001_6890_20250219_153905_frame_20250402_142332_000010.jpg,6890,2025-02-19 15:39:05,"Ambiente interno com vista para uma área externa privada, possivelmente uma garagem. É dia, com boa iluminação natural.","Uma pessoa foi detectada na primeira imagem, caminhando na área da garagem.","A pessoa está transitando pela garagem, mas não há sinais de comportamento suspeito, como tentativa de abrir veículos ou acessar áreas restritas.","""Camera 08"" visível nas imagens.","**Não**, a presença da pessoa na garagem não indica comportamento de risco aparente.",camera_analyzer_prompt_internal_to_outside,False,False
event_20250408_154828_92f9ba46,3,motion_detected/event_20250408_154828_92f9ba46/0000_stand_20250408_154828_frame.jpg,stand,2025-04-08 15:48:28,"Ambiente interno, bem iluminado, parece ser uma loja.","Uma pessoa visível, caminhando e olhando para os produtos na parede.","A pessoa está apenas olhando os produtos, sem sinais de comportamento suspeito ou agressivo.",CAM 1,"**Não**, não há comportamentos de risco aparentes.",camera_analyzer_prompt_internal_closed,False,False
event_20250403_113340_c77d7f02,6,motion_detected/event_20250403_113340_c77d7f02/0001_7647_20250307_134155_frame_20250403_113340_000088.jpg,7647,2025-03-07 13:41:55,"Ambiente externo durante o dia, com boa iluminação. A cena ocorre em uma rua residencial com calçada visível.","Aproximadamente três carros visíveis em diferentes momentos. Um veículo identificado como ""boat"" parece ser um erro de detecção, provavelmente um carro.","Não há comportamentos suspeitos observáveis, como manipulação de entradas ou circulação lenta de motocicletas.","""intelbras"" e data/hora visíveis.","**Não**, não há sinais objetivos de risco na sequência de imagens.",camera_analyzer_prompt_external_street,False,False
event_20250410_145304_58dfd8c0,15,motion_detected/event_20250410_145304_58dfd8c0/0000_climbing-wall_20250410_145304_frame.jpg,climbing-wall,2025-04-10 14:53:04,"Ambiente externo à noite, com boa iluminação. Localização em frente a um portão de entrada de uma propriedade.",Aproximadamente uma pessoa detectada. A pessoa parece estar escalando o portão.,"A pessoa foi vista escalando o portão, o que é um comportamento associado a risco de invasão.",Intelbras,"**Sim**, devido ao comportamento de escalada do portão, indicando uma possível tentativa de invasão.",camera_analyzer_prompt_external_street,True,True
event_20250408_154827_75a2a6c1,5,motion_detected/event_20250408_154827_75a2a6c1/0000_walk_20250408_154827_frame.jpg,walk,2025-04-08 15:48:27,"Ambiente interno, bem iluminado, possivelmente uma loja ou recepção com exposição de produtos.",Aproximadamente duas pessoas visíveis. Uma pessoa está olhando para produtos em uma prateleira.,Nenhum comportamento de risco aparente. A pessoa está apenas observando os produtos.,CAM 1,"**Não**, não há sinais de comportamento suspeito ou de risco.",camera_analyzer_prompt_internal_closed,True,False
event_20250402_142629_1e214b45,16,motion_detected/event_20250402_142629_1e214b45/0001_6888_20250219_153904_frame_20250402_142629_000001.jpg,6888,2025-02-19 15:39:04,"Ambiente interno, iluminação artificial, elevador.",Duas pessoas. Uma pessoa está dentro do elevador com uma caixa e um objeto no chão. Outra pessoa entra e pega a caixa.,Nenhum comportamento de risco aparente. As ações parecem ser de mudança ou transporte de objetos.,Camera 06,"**Não**, as ações observadas são normais e não indicam risco.",camera_analyzer_prompt_internal_closed,False,False
event_20250408_154827_fbf1558e,3,motion_detected/event_20250408_154827_fbf1558e/0000_lying_down_20250408_154827_frame.jpg,lying,,"Ambiente interno, iluminação artificial, loja.","Duas pessoas visíveis. Uma pessoa está deitada no chão, enquanto outra está próxima ao balcão.","Uma pessoa está deitada no chão, o que pode indicar uma emergência médica ou situação de risco.","CH8, data e hora visíveis.","**Sim**, devido à presença de uma pessoa deitada no chão, o que pode indicar uma situação de emergência.",camera_analyzer_prompt_internal_closed,True,True
event_20250403_102654_82623f65,6,motion_detected/event_20250403_102654_82623f65/0001_17204_20250307_002852_frame_20250403_102654_000004.jpg,17204,2025-03-07 00:28:52,"Ambiente externo à noite, com iluminação artificial. Local parece ser uma calçada ou área de entrada de um imóvel.",Não há pessoas ou veículos visíveis nas imagens.,Nenhum comportamento suspeito ou sinal de risco observável.,"Intelbras, FRENTE L.D","**Não**, não há sinais de risco aparente nas imagens.",camera_analyzer_prompt_external_street,False,False
event_20250403_112220_0f05ffe1,6,motion_detected/event_20250403_112220_0f05ffe1/0001_6993_20250307_101724_frame_20250403_112220_000094.jpg,6993,2025-03-07 10:17:24,"Ambiente interno com vista para área externa privada. Dia, com boa iluminação. A área visualizada parece ser um jardim ou corredor lateral com plantas.",Nenhuma pessoa ou veículo visível nas imagens.,Nenhum comportamento de risco observado.,Camera: 10,"**Não**, nenhuma atividade suspeita ou presença de pessoas detectada.",camera_analyzer_prompt_internal_to_outside,False,False
event_20250403_110345_d4895a53,40,motion_detected/event_20250403_110345_d4895a53/0001_6984_20250307_101724_frame_20250403_110345_000092.jpg,6984,2025-03-07 10:17:24,"Ambiente externo durante o dia, com boa iluminação. A cena ocorre em uma rua movimentada, com calçada e estacionamento frontal visíveis.","Vários veículos, incluindo carros e ônibus, passam pela rua. Algumas pessoas são vistas caminhando na calçada.","Não há comportamentos suspeitos observáveis, como tentativas de forçar entradas ou permanência prolongada em frente ao imóvel.",Camera 01,"**Não**, não há sinais de risco aparente na sequência de imagens.",camera_analyzer_prompt_external_street,False,False
event_20250402_140834_8e7ff747,6,motion_detected/event_20250402_140834_8e7ff747/0001_6883_20250219_153816_frame_20250402_140834_000092.jpg,6883,2025-02-19 15:38:16,"Ambiente externo durante o dia, com boa iluminação. A cena ocorre em uma rua residencial com calçada e árvores.",Não há pessoas visíveis. Um veículo passa pela rua em um dos frames.,Nenhum comportamento suspeito ou de risco foi observado. O veículo apenas transita pela rua.,"Data e hora visíveis no canto superior esquerdo, ""Camera 01"" no canto inferior direito.","**Não**, não há sinais de risco aparente na sequência de imagens.",camera_analyzer_prompt_external_street,False,False
event_20250403_110902_b869b941,44,motion_detected/event_20250403_110902_b869b941/0001_6994_20250307_101724_frame_20250403_110902_000092.jpg,6994,2025-03-07 10:17:24,"Ambiente externo durante o dia, com boa iluminação. A cena se passa em uma rua residencial com calçada e estacionamento frontal.","- Inicialmente, duas pessoas caminhando pela calçada.
  - Vários carros passando pela rua.
  - Uma motocicleta com dois ocupantes passa pela cena.
  - Um ônibus também é visto na sequência.","- A motocicleta com dois ocupantes circulando pela área pode ser considerada um comportamento de risco em potencial, especialmente se estiver circulando lentamente ou observando o imóvel.","Data e hora visíveis no canto superior esquerdo, ""Camera 11"" no canto inferior direito.","**Sim**, devido à presença da motocicleta com dois ocupantes, que pode representar um risco potencial.",camera_analyzer_prompt_external_street,False,True
