folder_name,image_count,first_image,cam_id,event_datetime,contexto,pessoas,comportamentos,label,avaliacao,scenario_type,real,predict
event_20250402_133726_41ca0095,8,motion_detected/event_20250402_133726_41ca0095/0001_6890_20250219_153816_frame_20250402_133726_000010.jpg,6890,2025-02-19 15:38:16,"Área interna (garagem coberta) com vista para espaço de entrada/saída e área externa privada de um imóvel. Iluminação diurna com luz natural. O local apresentado é uma garagem ou estacionamento de acesso restrito, provavelmente residencial, com automóveis estacionados e ambiente parcialmente fechado.","Um indivíduo é visto caminhando pela garagem (frame 1 e 2), se deslocando da área interna para fora do campo de visão, aparentemente em direção à saída ou entrada do imóvel. Duas vagas estão ocupadas por veículos estacionados, mas não há movimentação desses automóveis.","- O único comportamento observado é o deslocamento a pé, sem interação evidente com os veículos ou portas.
  - Não há aproximação de muros, portões ou veículos de forma suspeita.
  - Não há tentativa visível de abertura de portas/portões, nem sinal da pessoa estar observando ou sondando o local.
  - A pessoa simplesmente passa de um ponto ao outro dentro da garagem, desaparecendo do campo de visão posteriormente.","Texto de data/hora (“02-19-2025 Qua 12:33:22”, “Camera 08”) aparece como marca d’água.","**Não**. O comportamento visualizado é de circulação normal em área privativa (como saída ou entrada por parte de morador ou visitante). Não há gestos, posturas ou interações que sugiram risco (baixo, médio ou alto) nesta sequência específica.",camera_analyzer_prompt_internal_to_outside,False,False
event_20250402_142333_c72d52a0,9,motion_detected/event_20250402_142333_c72d52a0/0001_6890_20250219_153905_frame_20250402_142332_000010.jpg,6890,2025-02-19 15:39:05,"Ambiente interno coberto (possivelmente garagem ou área de acesso), com vista para área externa privada, próxima a veículos estacionados. Iluminação diurna, com boa visibilidade. Local se assemelha a uma garagem ou estacionamento interno.","Uma pessoa aparece brevemente (nas duas primeiras imagens), caminhando da área interna para a área próxima ao portão/saída, portando volume (aparenta ser uma bolsa ou sacola) e seguindo seu trajeto sem interação aparente com portões, veículos ou demais objetos. Depois, área fica vazia até o final da sequência. Dois veículos estão estacionados.","A pessoa observada transita de maneira direta, sem atitudes suspeitas como observar o ambiente, tentar acessar portões/veículos ou áreas restritas. Não há sinais de tentativa de violação, arrombamento ou observação suspeita. Não há circulação incomum ou comportamento de vigilância.","""02-19-2025 Qua 12:39:21"", ""Camera 08"" (marcação de data/hora e identificação da câmera)","**Não**, movimentação típica de morador ou visitante autorizado, sem ação suspeita visível.",camera_analyzer_prompt_internal_to_outside,False,False
event_20250408_154828_92f9ba46,3,motion_detected/event_20250408_154828_92f9ba46/0000_stand_20250408_154828_frame.jpg,stand,2025-04-08 15:48:28,"Ambiente interno, bem iluminado (possível luz natural e artificial); parece ser uma loja, possivelmente de eletrônicos ou acessórios (prateleiras com inúmeros objetos pequenos à direita e balcão ao fundo).","Aproximadamente 1 pessoa visível, homem adulto, deslocando-se próximo à prateleira lateral. Sem veículos.","O indivíduo caminha devagar, com as mãos aparentemente nos bolsos, observando a prateleira de perto. Não há sinais imediatos de tentativas de forçar gavetas, manipulação repetida de objetos, ações agressivas ou retirada acelerada de itens nas imagens apresentadas.","""CAM 1"", timestamp visível na parte superior (“09-04-2013 15:11:53” a “15:11:55”).","**Não**, neste trecho específico não há comportamento visualmente suspeito ou ação classificável como risco imediato. Apenas observação do ambiente até o momento.",camera_analyzer_prompt_internal_closed,False,False
event_20250403_113340_c77d7f02,6,motion_detected/event_20250403_113340_c77d7f02/0001_7647_20250307_134155_frame_20250403_113340_000088.jpg,7647,2025-03-07 13:41:55,"Ambiente externo, rua residencial com calçada visível, vegetação e muros. Imagens captadas durante o dia, boa iluminação natural. A câmera está voltada para a rua à frente de um imóvel, registrando também o portão/entrada lateral.","- Foram detectados 2 a 3 carros estacionados em diferentes pontos da rua, mudando ligeiramente de posição entre os frames. 
  - Um veículo, identificado como uma viatura (possivelmente policial) ou carro de segurança privada, entra em cena nos últimos frames e estaciona próximo aos veículos já parados. 
  - Não há presença visível de pessoas circulando a pé, nem motos identificadas.","- Não são observados comportamentos suspeitos como tentativa de manipulação de portão, movimentação hesitante, olhares repetidos ou aglomeração.  
  - Os veículos permanecem relativamente estáticos ou trafegam normalmente, sem sinais de redução de velocidade sistemática, paradas prolongadas ou atitudes coordenadas entre ocupantes.  
  - A chegada da viatura indica possível patrulhamento de rotina ou atendimento a ocorrência, mas não há sinais claros de abordagem ou ação suspeita nas imagens apresentadas.","- Marcas d'água: ""intelbras"", data/hora no topo, localização “frente esquerda” no canto inferior esquerdo.","**Não**.  
  - Justificativa: Não são observados comportamentos objetivamente associados a risco de segurança no contexto das imagens analisadas. O tráfego de carros e entrada da viatura ocorrem de modo ordinário, sem sinais ou ações suspeitas de condutas preparatórias para delito.",camera_analyzer_prompt_external_street,False,False
event_20250410_145304_58dfd8c0,15,motion_detected/event_20250410_145304_58dfd8c0/0000_climbing-wall_20250410_145304_frame.jpg,climbing-wall,2025-04-10 14:53:04,"Ambiente interno com vista para área externa privada, especificamente um corredor lateral/jardim junto ao portão de entrada da propriedade. Iluminação noturna artificial, permitindo boa visibilidade da área.","Uma pessoa aparece a partir do frame 11, surgindo do lado externo e escalando o portão, entrando na propriedade privada e caminhando pelo jardim/corredor lateral. Não há veículos visíveis, e a movimentação é exclusivamente de uma pessoa.","O indivíduo escala o portão da residência, acessando a área interna sem uso da entrada regular, em um horário atípico (noite). Esse comportamento indica potencial invasão ou acesso não autorizado, caracterizando um risco objetivo à segurança.","""intelbras"" e data/hora visíveis no canto superior das imagens.","**Sim**, há risco, pois a presença de uma pessoa escalando o portão e entrando na área privada configura invasão e ameaça clara à segurança do local.",camera_analyzer_prompt_internal_to_outside,True,True
event_20250408_154827_75a2a6c1,5,motion_detected/event_20250408_154827_75a2a6c1/0000_walk_20250408_154827_frame.jpg,walk,2025-04-08 15:48:27,"Ambiente interno, bem iluminado, com luz artificial (possivelmente de loja). O layout indica uma loja com expositores de óculos ou itens similares fixados na parede à direita e balcão à esquerda.","Duas pessoas visíveis nas imagens (uma aparece durante toda a sequência; a outra ao fundo do ambiente). Ambas parecem vestir uniformes, uma delas com jaqueta reflexiva de alta visibilidade e calças verdes.","O indivíduo de jaqueta reflexiva observa atentamente os produtos expostos na parede e muda de posição lentamente, mas não é possível ver interação direta (como mexer ou retirar objetos) nos frames fornecidos. Também não há sinais claros de forçar armários, movimentação acelerada, esconder rosto ou ações agressivas.","""CAM 1"" e data/hora visíveis na parte superior das imagens.","**Não**, pois não há comportamentos visuais objetivos indicando risco à segurança ou ao patrimônio nesta sequência – apenas observação dos produtos em exposição.",camera_analyzer_prompt_internal_closed,True,False
event_20250402_142629_1e214b45,16,motion_detected/event_20250402_142629_1e214b45/0001_6888_20250219_153904_frame_20250402_142629_000001.jpg,6888,2025-02-19 15:39:04,"Ambiente interno, trata-se de um elevador. A iluminação é artificial e suficiente para boa visibilidade. Não há luz direta do exterior, indicando um local fechado e controlado.","Aproximadamente duas pessoas. Uma pessoa entra no elevador carregando objetos (saco ou caixa e animal de estimação pequeno), aparenta aguardar e interage com os objetos/porta. Outra pessoa, posteriormente, pega outro objeto do chão (uma caixa/ferramenta) e ambos saem do elevador. Não há veículos, apenas pessoas.","- Nenhuma das pessoas exibe comportamento suspeito ou agressivo.
  - Não há tentativa de forçar abertura de portas, manipular indevidamente objetos do elevador, esconder o rosto, ou movimentação acelerada e nervosa.
  - O comportamento é compatível com o uso rotineiro do elevador, levando objetos pessoais e possivelmente um animal.","Há indicações textuais de data, hora (“09-19-2025 Qua 12:39:...”) e a marcação “Camera 06” na borda das imagens.","**Não**. As ações das pessoas são típicas de usuários do elevador e não existem sinais visuais claros de risco à integridade das pessoas ou do patrimônio, de acordo com esta sequência.",camera_analyzer_prompt_internal_closed,False,False
event_20250408_154827_fbf1558e,3,motion_detected/event_20250408_154827_fbf1558e/0000_lying_down_20250408_154827_frame.jpg,lying,,"Ambiente interno, iluminação clara (luz artificial); trata-se de uma loja ou pequeno mercado, com prateleiras organizadas e produto expostos.","Duas pessoas presentes. Uma próxima ao balcão, em pé, aparentemente atendendo ou observando. Outra no chão, inicialmente agachada e, em seguida, deitada ou rastejando no corredor central.","Um indivíduo agachado e depois deitado/rastejando no chão sem um contexto claro (por exemplo, queda súbita, possível busca de proteção), enquanto outra pessoa permanece em posição de observação/próxima ao balcão. Não há sinais claros de retirada de objetos ou agressão, mas o comportamento de deitar-se no chão pode indicar resposta a ameaça, assalto ou emergência (pode ser uma tentativa de se esconder ou se proteger).","Marcação de data e hora, canal da câmera (""CH8"").","**Sim**, devido ao comportamento anormal de uma pessoa deitar-se/rastejar no chão em local comercial, podendo indicar situação de assalto, ameaça, emergência médica ou risco à segurança.",camera_analyzer_prompt_internal_closed,True,True
event_20250403_102654_82623f65,6,motion_detected/event_20250403_102654_82623f65/0001_17204_20250307_002852_frame_20250403_102654_000004.jpg,17204,2025-03-07 00:28:52,"Ambiente externo, noturno, com iluminação artificial localizada. A câmera está posicionada em frente a um imóvel, mostrando calçada, portão e parte de um estacionamento frontal. Cena em rua aparentemente pouco movimentada.","Não há pessoas ou veículos claramente visíveis nas imagens, apenas é possível observar um possível farol vermelho distante nos dois primeiros frames (em direção oposta à câmera), que logo desaparece. Nenhum outro elemento (moto, carro, pessoa a pé) em evidência.","Não há indícios visuais de tentativas de forçar entradas, permanência prolongada de pessoas/veículos próximos, circulação suspeita de motocicletas, nem comportamentos anormais de observação do imóvel. O local permanece desocupado ao longo da sequência.","""Intelbras"", data e hora e ""FRENTE L.D"" visíveis no canto da tela.",**Não**. Justificativa: Não foram identificados sinais ou comportamentos visuais objetivos que indiquem risco potencial à segurança durante a sequência analisada.,camera_analyzer_prompt_external_street,False,False
event_20250403_112220_0f05ffe1,6,motion_detected/event_20250403_112220_0f05ffe1/0001_6993_20250307_101724_frame_20250403_112220_000094.jpg,6993,2025-03-07 10:17:24,"Ambiente externo com presença de vegetação em primeiro plano, aparentando ser uma área junto a um muro ou parede lateral, possivelmente calçada ou jardim ao lado de muro/parede de imóvel. Iluminação diurna (imagem clara), sem sinais de baixa luminosidade.","Não há pessoas nem veículos visíveis nas imagens; toda a sequência está obstruída em grande parte por folhas e galhos, impedindo a visualização clara da rua, calçada ou portão.","Não há comportamentos ou sinais objetivos de risco observáveis nas imagens fornecidas, pois não há pessoas, veículos ou qualquer ação visível na cena.","Marca d'água ""Camera: 10"", data e hora no topo esquerdo.","**Não**, pois não há quaisquer elementos visuais ou comportamentais que indiquem risco ou ameaça, nem mesmo passível de dúvida, devido à ausência total de atividade na cena.",camera_analyzer_prompt_external_street,False,False
