folder_name,image_count,first_image,cam_id,event_datetime,contexto,pessoas,comportamentos,label,avaliacao,scenario_type,real,predict
event_20250402_133726_41ca0095,8,motion_detected_with_yolo/event_20250402_133726_41ca0095/0001_6890_20250219_153816_frame_20250402_133726_000010.jpg,6890,2025-02-19 15:38:16,"Ambiente interno durante o dia, com iluminação natural adequada. A área externa visualizada é uma garagem ou estacionamento coberto.",Uma pessoa detectada nas proximidades de um carro. Dois veículos visíveis na garagem.,A pessoa é vista caminhando e passando perto de um carro. Não há indicação de tentativa de entrada ou comportamento claramente suspeito.,"""person 0.78"" e ""train 0.49"" em alguns frames.","**Não**, a presença na garagem pode ser legítima, sem comportamentos de risco evidentes.",camera_analyzer_prompt_external_street,False,False
event_20250402_142333_c72d52a0,9,motion_detected_with_yolo/event_20250402_142333_c72d52a0/0001_6890_20250219_153905_frame_20250402_142332_000010.jpg,6890,2025-02-19 15:39:05,"Estacionamento, dia, área coberta.",Duas pessoas próximas a veículos.,"Movimentação normal, sem sinais de tentativa de acesso não autorizado ou comportamento suspeito.","""Camera 03""","**Não**, comportamento sem risco aparente.",camera_analyzer_prompt_external_street,False,False
event_20250408_154828_92f9ba46,3,motion_detected_with_yolo/event_20250408_154828_92f9ba46/0000_stand_20250408_154828_frame.jpg,stand,2025-04-08 15:48:28,"Ambiente interno, bem iluminado, parece uma loja com exibição de produtos na parede.","Uma pessoa visível, andando pela área, olhando para os itens expostos.","A pessoa está se movendo lentamente pelo corredor, observando produtos. Não há ações de risco visíveis.","CAM 1, data e hora no canto superior.","**Não**, apenas comportamento padrão de cliente observando produtos.",camera_analyzer_prompt_external_street,False,False
event_20250403_113340_c77d7f02,6,motion_detected_with_yolo/event_20250403_113340_c77d7f02/0001_7647_20250307_134155_frame_20250403_113340_000088.jpg,7647,2025-03-07 13:41:55,"Ambiente externo, cena diurna com boa iluminação, localizada em uma rua residencial.","Três carros visíveis, um em movimento na direção da câmera e dois estacionados na via. Não há pessoas visíveis na cena.",Nenhum comportamento suspeito ou de risco observável. Carros estão se movendo e estacionados de maneira comum.,intelbras,"**Não**, não há ações que indiquem risco de segurança.",camera_analyzer_prompt_external_street,False,False
event_20250410_145304_58dfd8c0,15,motion_detected_with_yolo/event_20250410_145304_58dfd8c0/0000_climbing-wall_20250410_145304_frame.jpg,climbing-wall,2025-04-10 14:53:04,Ambiente interno com vista para área externa privada. É noite e a iluminação é boa. A área visualizada parece ser um corredor lateral ou frente de imóvel com grama e calçada.,Uma pessoa detectada. A pessoa aparece pulando o portão e adentrando a propriedade.,Ação de pular o portão à noite indica tentativa de invasão ou acesso indevido à propriedade.,Intelbras,"**Sim**, a ação de pular o portão classifica o risco como alto, sugerindo uma tentativa de invasão ou comportamento suspeito.",camera_analyzer_prompt_external_street,True,True
event_20250408_154827_75a2a6c1,5,motion_detected_with_yolo/event_20250408_154827_75a2a6c1/0000_walk_20250408_154827_frame.jpg,walk,2025-04-08 15:48:27,"Ambiente interno com boa iluminação, provavelmente uma loja ou área de vendas com exposição de produtos na parede.",Aproximadamente duas pessoas. Uma pessoa está vestindo um colete refletivo e parece estar caminhando ao longo de uma parede com produtos.,A pessoa observada não demonstra comportamentos suspeitos claros nas imagens fornecidas. Está apenas caminhando e olhando os produtos.,CAM 1,"**Não**, não há sinais de risco aparente nas imagens analisadas.",camera_analyzer_prompt_external_street,True,False
event_20250402_142629_1e214b45,16,motion_detected_with_yolo/event_20250402_142629_1e214b45/0001_6888_20250219_153904_frame_20250402_142629_000001.jpg,6888,2025-02-19 15:39:04,"Elevador interno, iluminação clara, provavelmente em um prédio residencial ou comercial.","Duas pessoas são visíveis. A primeira manipula objetos no chão, aparentemente não estava forçando nada nem mostrando ações suspeitas. A segunda pessoa entra e também interage com um dos objetos.","Nenhum comportamento agressivo ou suspeito foi observado. As pessoas não tentaram cobrir o rosto ou desviar da câmera. Aparentemente, apenas moveram objetos (parecem itens pessoais).","""Camera 96"" visível em várias imagens.","**Não**, pois não há ações que indiquem risco à segurança ou ao patrimônio.",camera_analyzer_prompt_external_street,False,False
event_20250408_154827_fbf1558e,3,motion_detected_with_yolo/event_20250408_154827_fbf1558e/0000_lying_down_20250408_154827_frame.jpg,lying,,"Ambiente interno, bem iluminado, parece ser uma loja.",Aproximadamente três pessoas visíveis; duas no fundo parecem estar próximas ao caixa ou balcão.,Nenhum comportamento suspeito aparente; as pessoas parecem estar em atividades normais de compra ou atendimento.,"Presença de marca d'água com data e canal ""CH8"".","**Não**, não há indicadores de comportamento de risco.",camera_analyzer_prompt_external_street,True,False
event_20250403_102654_82623f65,6,motion_detected_with_yolo/event_20250403_102654_82623f65/0001_17204_20250307_002852_frame_20250403_102654_000004.jpg,17204,2025-03-07 00:28:52,"Ambiente externo, à noite, com iluminação artificial. Local é uma calçada/estacionamento frontal próximo a uma rua.",Não há pessoas visíveis. Um veículo em movimento com faróis acesos aparece brevemente e se afasta.,Nenhuma atividade suspeita aparente.,"Intelbras, FRENTE L.D.","**Não**, nenhuma atividade suspeita identificada.",camera_analyzer_prompt_external_street,False,False
event_20250403_112220_0f05ffe1,6,motion_detected_with_yolo/event_20250403_112220_0f05ffe1/0001_6993_20250307_101724_frame_20250403_112220_000094.jpg,6993,2025-03-07 10:17:24,"Ambiente semiaberto, dia, iluminação clara. Visão de jardim ou área lateral com vegetação.",Nenhuma pessoa ou veículo visível.,"Nenhum comportamento de risco observado, apenas plantas visíveis.","""Camera: 10""","**Não**, sem atividade suspeita visível.",camera_analyzer_prompt_external_street,False,False
