folder_name,image_count,first_image,cam_id,event_datetime,contexto,pessoas,comportamentos,label,avaliacao,scenario_type,real,predict
event_20250402_133726_41ca0095,8,motion_detected/event_20250402_133726_41ca0095/0001_6890_20250219_153816_frame_20250402_133726_000010.jpg,6890,2025-02-19 15:38:16,Ambiente interno (garagem) com vista para área externa privada. Dia com boa iluminação.,"Duas pessoas são visíveis no frame 1 e 2, posteriormente desaparecendo. Há também a detecção de um veículo (train) no frame 2 e 5.","As pessoas entram e saem da garagem, o que parece um comportamento esperado nesse ambiente. Não há indícios de comportamentos de risco.",Câmera 08,"**Não**, Não há comportamentos incomuns ou suspeitos que justifiquem um aumento no nível de alerta.",camera_analyzer_prompt_internal_to_outside,False,False
event_20250402_142333_c72d52a0,9,motion_detected/event_20250402_142333_c72d52a0/0001_6890_20250219_153905_frame_20250402_142332_000010.jpg,6890,2025-02-19 15:39:05,Garagem interna com iluminação diurna. A câmera tem vista para a entrada de um edifício e um pequeno estacionamento com veículos.,"No frame 1, é detectada uma pessoa. As imagens seguintes não detectam a presença de pessoas. A pessoa parece estar saindo do prédio com uma pasta na mão.",Nenhuma ação suspeita é observada. A pessoa parece estar saindo do prédio em direção ao estacionamento.,Camera 08,"**Não**, A pessoa está saindo do prédio, o que não representa risco aparente.",camera_analyzer_prompt_internal_to_outside,False,False
event_20250408_154828_92f9ba46,3,motion_detected/event_20250408_154828_92f9ba46/0000_stand_20250408_154828_frame.jpg,stand,2025-04-08 15:48:28,"Ambiente interno, iluminação diurna. Possivelmente uma loja ou área de exposição de produtos (óculos).",Uma pessoa.,A pessoa observa os produtos expostos. Não há comportamentos de risco aparentes.,CAM 1,"**Não**, Não há indícios de risco na sequência analisada.",camera_analyzer_prompt_internal_closed,False,False
event_20250403_113340_c77d7f02,6,motion_detected/event_20250403_113340_c77d7f02/0001_7647_20250307_134155_frame_20250403_113340_000088.jpg,7647,2025-03-07 13:41:55,"Rua residencial durante o dia, com boa iluminação. A câmera está posicionada na fachada do imóvel, mostrando a rua e a calçada.",Vários carros estacionados na rua. Um carro branco se move em direção à câmera.,"Nenhum comportamento de risco aparente. Os veículos se movem de maneira natural pela rua. A detecção de ""boat"" em algumas imagens parece ser um erro de detecção.","Intelbras, 2025-03-07 10:44:02, frente esquerda","**Não**, Nenhum risco aparente. O tráfego parece normal e não há comportamentos suspeitos visíveis.",camera_analyzer_prompt_external_street,False,False
event_20250410_145304_58dfd8c0,15,motion_detected/event_20250410_145304_58dfd8c0/0000_climbing-wall_20250410_145304_frame.jpg,climbing-wall,2025-04-10 14:53:04,N/A,"No frame 11, uma pessoa é detectada. Nos frames seguintes, essa pessoa entra na área gramada, vestindo uma camisa escura, calça clara e boné.","A pessoa entra no gramado por meio do portão, o que não constitui um risco em si. No entanto, a detecção de uma pessoa caminhando na área em frente à propriedade no período noturno justifica atenção.","Intelbras, 30/11/2020 21:35:46","**Sim**, Pessoa entra na área gramada durante a noite.",camera_analyzer_prompt_external_street,True,True
event_20250408_154827_75a2a6c1,5,motion_detected/event_20250408_154827_75a2a6c1/0000_walk_20250408_154827_frame.jpg,walk,2025-04-08 15:48:27,N/A,Aproximadamente 2-3 pessoas. Um indivíduo veste um colete de alta visibilidade e parece observar os produtos em exposição.,Nenhum comportamento de risco evidente. As pessoas parecem estar apenas olhando os produtos na loja.,CAM 1,"**Não**, Nenhum risco aparente.",camera_analyzer_prompt_internal_closed,True,False
event_20250402_142629_1e214b45,16,motion_detected/event_20250402_142629_1e214b45/0001_6888_20250219_153904_frame_20250402_142629_000001.jpg,6888,2025-02-19 15:39:04,"Ambiente interno de um elevador. Iluminação artificial, dia.","Inicialmente uma pessoa (aparentemente um funcionário da limpeza) com uma maleta e materiais de limpeza. A partir do frame 4, uma pessoa é detectada, mas sua atividade não pode ser totalmente contextualizada dada a natureza dos dados. Do frame 11 em diante, outra pessoa entra no elevador.","A ação de entrar no elevador não indica, por si só, um risco. No entanto, a sequência mostra duas pessoas entrando no elevador, sendo que uma delas carrega uma maleta e materiais de limpeza. A presença de ambos no mesmo espaço, e a falta de informação sobre a relação entre eles, pode sugerir um potencial risco, dependendo do contexto do local e das políticas de segurança.",Camera 86,"[**Sim**], [presença de duas pessoas em um espaço confinado, uma delas carregando uma maleta, justificando uma avaliação de risco.]",camera_analyzer_prompt_internal_closed,False,True
event_20250408_154827_fbf1558e,3,motion_detected/event_20250408_154827_fbf1558e/0000_lying_down_20250408_154827_frame.jpg,lying,,N/A,2 pessoas. Uma delas está deitada no chão. A outra está atendendo no caixa.,"Uma pessoa no chão, aparentemente caindo ou deitando. Não é claro o motivo.","CH8, 31-10-2014 17:52:45","**Sim**, queda da pessoa no chão, necessitando verificação.",camera_analyzer_prompt_internal_closed,True,True
event_20250403_102654_82623f65,6,motion_detected/event_20250403_102654_82623f65/0001_17204_20250307_002852_frame_20250403_102654_000004.jpg,17204,2025-03-07 00:28:52,N/A,Não há pessoas ou veículos visíveis nas imagens.,Não há comportamentos ou sinais de risco observáveis nas imagens.,"Intelbras, 06/03/2025 21:14:05, FRENTE L.D","**Não**, Nenhum risco aparente.",camera_analyzer_prompt_external_street,False,False
event_20250403_112220_0f05ffe1,6,motion_detected/event_20250403_112220_0f05ffe1/0001_6993_20250307_101724_frame_20250403_112220_000094.jpg,6993,2025-03-07 10:17:24,"Ambiente externo, dia, boa iluminação. A cena parece mostrar uma parede externa com vegetação.",Não há pessoas ou veículos visíveis nas imagens.,Nenhum comportamento de risco é observável nas imagens.,"Data/hora e ""Camera 18""","**Não**, Nenhum risco aparente.",camera_analyzer_prompt_external_street,False,False
