folder_name,image_count,first_image,cam_id,event_datetime,contexto,observacoes,avaliacao,grau_confianca,scenario_type,format_type,label,real,predict,confidence_level
event_20250402_133726_41ca0095,8,motion_detected/event_20250402_133726_41ca0095/0001_6890_20250219_153816_frame_20250402_133726_000010.jpg,6890,2025-02-19 15:38:16,"Vista de uma garagem/estacionamento coberto em área externa privada, durante o dia (iluminação clara e natural). A câmera está posicionada em um ponto elevado, focando automóveis estacionados, uma passagem lateral e parte de uma porta/acesso ao interior. Label da câmera visível: ""Câmera 03"", horário nas imagens próximo de 12:33.","- Pessoas: Nas duas primeiras imagens, uma pessoa é observada caminhando pela garagem, aparentemente em direção à saída ou à lateral da propriedade. Não há indicação clara de que esteja interagindo com veículos, portas ou janelas. Após esses quadros iniciais, a pessoa não aparece mais nas imagens seguintes.
  - Indicadores Objetivos de Risco:
    - Pessoa presente em horário diurno, local comum para circulação (garagem), não aparenta comportamento suspeito ou interação atípica com elementos da cena (portas, janelas, muros, portões).
    - Não há sinais de tentativa de abertura ou intrusão, nem movimentos inesperados em áreas restritas ou fundos.
    - Não há sinais claros de intrusão, como pular muros.","**Baixo**, pois não foi observado nenhum indicador objetivo de risco de segurança. A circulação da pessoa parece normal para o contexto de uma garagem em horário diurno.","**Alto**, pois as imagens apresentam boa clareza, o ângulo da câmera permite visualização adequada da área monitorada e as ações da pessoa não são ambíguas ou suspeitas considerando o cenário apresentado.",camera_analyzer_prompt_internal_to_outside,detailed,,False,False,Alto
event_20250402_142333_c72d52a0,9,motion_detected/event_20250402_142333_c72d52a0/0001_6890_20250219_153905_frame_20250402_142332_000010.jpg,6890,2025-02-19 15:39:05,"As imagens apresentam a vista de uma garagem coberta ou área de estacionamento privativa, ao lado de um edifício com paredes brancas e azulejadas. O horário registrado é por volta das 12h39min, durante o dia, com iluminação natural ampla, proveniente de áreas abertas da garagem. Na lateral, é possível ver um portão aberto para o exterior e múltiplos carros estacionados. As imagens são rotuladas como ""Câmera 08"".","- Pessoas: Na primeira imagem, duas pessoas são vistas saindo da área interna para a garagem, uma delas carregando uma bolsa ou sacola. Na segunda imagem aparece apenas uma das pessoas, caminhando em direção ao exterior carregando a bolsa. Nas imagens subsequentes, não há mais pessoas presentes na área externa.  
  - Indicadores Objetivos de Risco (Relatar se observado):
    - Pessoa(s) presente(s) em áreas/horários incomuns: Não há informação suficiente para considerar o horário ou presença como incomum (horário de almoço, contexto possivelmente comum para movimentação).
    - Aproximar-se/interagir com portas, janelas, muros, portões: Há passagem pela garagem, mas nenhuma tentativa de interação suspeita com portas ou portões observada.
    - Tentar abrir/abrir conexões com o exterior: O portão para o exterior já se encontra aberto, utilizado de forma legítima para a saída.
    - Observar a propriedade atentamente da área externa: Não identificado.
    - Movimento inesperado por passagens/áreas dos fundos: Movimento normal de passagem, não há indício de aproximação por pontos inusitados.
    - Sinais claros de intrusão (ex.: pular cerca/muro): Não observado.","Baixo, pois não há nenhum indicador objetivo de risco relacionado a intrusão, tentativa de acesso não autorizado ou comportamento suspeito nas imagens analisadas. O movimento aparenta ser rotineiro, sem anomalias.","Alto, pois a clareza das imagens é boa, o ângulo cobre bem a área de interesse (garagem e portão), e as ações das pessoas registradas são típicas e sem ambiguidade (apenas passagem). Não há fatores no registro visual que dificultem a avaliação.",camera_analyzer_prompt_internal_to_outside,detailed,,False,False,Alto
event_20250408_154828_92f9ba46,3,motion_detected/event_20250408_154828_92f9ba46/0000_stand_20250408_154828_frame.jpg,stand,2025-04-08 15:48:28,"Ambiente interno fechado, provavelmente uma loja de óculos ou eletrônicos (há expositores na parede). Iluminação clara, aparentemente de luz natural e artificial. Imagens da ""CAM 1"", capturadas durante o dia (horário 15:11), em 09/04/2013.","- Pessoas: Um homem adulto está caminhando pelo corredor da loja e olhando para os expositores na parede. Ele parece analisar os produtos de forma calma, mãos nos bolsos, postura relaxada. Não há interação percebida com portas, gavetas ou outros itens nas imagens fornecidas.
  - Indicadores Objetivos de Risco:
    - Não foi observado forçar/manipular portas, gavetas ou armários.
    - Não há manuseio suspeito de objetos/equipamentos ou movimentação rápida/errática.
    - Não há sinais de ocultar/remover itens rapidamente.
    - Não há sinais de vandalismo/agressividade.
    - Não tenta esconder o rosto da câmera.
    - Não há sinais de arrombamento ou violência.","Baixo, pois nenhum indicador objetivo de risco foi observado nas imagens.","Alto, as imagens estão claras, o ângulo é adequado e as ações apresentadas são pouco ambíguas.",camera_analyzer_prompt_internal_closed,detailed,,False,False,Alto
event_20250403_113340_c77d7f02,6,motion_detected/event_20250403_113340_c77d7f02/0001_7647_20250307_134155_frame_20250403_113340_000088.jpg,7647,2025-03-07 13:41:55,"As imagens são de uma rua residencial, filmadas por uma câmera de segurança externa (label “frente esquerda”), com iluminação diurna clara (manhã), árvores e muros visíveis. Trânsito típico e ambiente aberto.","- Pessoas: Não há pessoas visíveis nas imagens analisadas.
  - Veículos: Vários carros estacionados ao longo da rua. Um veículo identificado como “boat” na análise automática parece ser, na verdade, um carro (provável erro de detecção). Em duas imagens, vê-se um carro com pintura e padrão que sugerem ser de serviço público (possivelmente viatura, táxi, ou veículo oficial) passando lentamente pela rua.
  - Indicadores Objetivos de Risco:
      - Não há tentativas de forçar/manipular entradas.
      - Não há presença suspeita de pessoas nem aglomeração próxima à propriedade.
      - Não há passagem lenta/repetida claramente suspeita de veículos.
      - Não há veículos parados observando a propriedade.
      - Não há motocicletas envolvidas nas cenas.
      - Não há indícios de uso incomum de acessórios (capuz, máscara, boné).
      - Não há ações coordenadas ou agressivas visíveis.","Baixo, pois não há nenhum indicador objetivo de risco visível nas imagens; os movimentos dos veículos são condizentes com trânsito normal e não há presença ou comportamento suspeito de pessoas.","Alto, pois as imagens estão nítidas, o ângulo permite boa visão da rua e da movimentação, e não há ambiguidade nas ações observadas.",camera_analyzer_prompt_external_street,detailed,,False,False,Alto
event_20250410_145304_58dfd8c0,15,motion_detected/event_20250410_145304_58dfd8c0/0000_climbing-wall_20250410_145304_frame.jpg,climbing-wall,2025-04-10 14:53:04,"Vista externa de rua residencial, à noite ( horário 21:35), com boa iluminação artificial próxima ao portão e calçada. Local com portão, muro e jardim interno. Imagens da ""Câmera 01"".","- Pessoas: Um indivíduo aparece escalando o portão da residência (a partir do frame 0053), atravessa para o interior da propriedade e move-se rapidamente em direção ao jardim e entrada.
  - Veículos: Não há presença ou ação suspeita de veículos ou motocicletas nas imagens fornecidas.
  - Indicadores Objetivos de Risco (observados):
    - Forçar/manipular entradas: Sim, indivíduo escala o portão.
    - Vadiagem/permanência suspeita: Não observado (ação foi rápida).
    - Passagens lentas/repetidas de veículos: Não observado.
    - Veículos estacionados observando: Não observado.
    - Motocicletas paradas/observando: Não observado.
    - Uso incomum de capuzes/máscaras/bonés: Indivíduo usa boné, mas não é possível afirmar uso indevido.
    - Ações coordenadas: Não observado, apenas 1 pessoa.
    - Agressões, violência, armas: Não observado.","Alto, devido à clara invasão da propriedade por escalada do portão, configurando tentativa de acesso não autorizado.","Alto, imagens claras, ação sem ambiguidade, ângulo da câmera permite completa visualização da sequência e das ações do indivíduo.",camera_analyzer_prompt_external_street,detailed,,True,True,Alto
event_20250408_154827_75a2a6c1,5,motion_detected/event_20250408_154827_75a2a6c1/0000_walk_20250408_154827_frame.jpg,walk,2025-04-08 15:48:27,"Ambiente interno fechado, provavelmente uma loja devido à exposição de diversos itens organizados em prateleiras na parede (parecem óculos ou relógios). Iluminação clara e uniforme, horário pela tarde (15:15), câmera identificada como ""CAM 1"".","- Pessoas: 
    - Um homem usando uniforme de alta visibilidade (amarelo com listras refletivas e calça verde) aparece nas cinco imagens. Ele observa atentamente os itens expostos na parede e caminha lentamente ao longo do corredor. Outra pessoa aparece ao fundo, aparentemente interagindo com um atendente.
  - Indicadores Objetivos de Risco:
    - Não há evidências claras de que portas, gavetas ou armários estejam sendo forçados.
    - O homem de colete reflete um comportamento de observação, mas não há manipulação suspeita, ocultação de itens ou remoção rápida dos objetos visíveis.
    - Não há movimentos rápidos ou erráticos.
    - Não há sinal de vandalismo, agressão ou tentativa de esconder o rosto.
    - Nenhuma porta ou janela parece arrombada.
    - Não há presença de armas ou violência.","Baixo, pois não foram observados indicadores objetivos de risco nas imagens analisadas. O comportamento é compatível com alguém observando produtos em ambiente de varejo.","Alto, pois as imagens estão claras, bem iluminadas, boa posição da câmera e as ações das pessoas são explícitas e sem ambiguidade relevante.",camera_analyzer_prompt_internal_closed,detailed,,False,False,Alto
event_20250402_142629_1e214b45,16,motion_detected/event_20250402_142629_1e214b45/0001_6888_20250219_153904_frame_20250402_142629_000001.jpg,6888,2025-02-19 15:39:04,"Ambiente interno fechado, aparentemente um elevador (possivelmente em prédio residencial ou comercial). Iluminação artificial clara. As imagens são de uma câmera de segurança interna, identificada como ""Camera 06"", datadas de 19/02/2025, por volta de 12:39.","- Pessoas: Duas pessoas aparecem nas imagens. O primeiro indivíduo está de camiseta clara, shorts e chinelo. Manipula objetos no chão do elevador (aparentemente uma caixa e uma cesta). Em seguida, uma segunda pessoa (camiseta verde clara, boné) entra na área do elevador, pega um dos objetos (a caixa), enquanto o primeiro sai com a cesta e outro item.
    - Indicadores Objetivos de Risco (Relatar se observado):
        - Não há sinais visíveis de forçar ou manipular portas, gavetas ou armários.
        - A manipulação dos objetos parece intencional (retirada organizada de equipamentos ou mantimentos).
        - Não há movimento rápido e errático, ocultação ou retirada suspeita de itens, vandalismo, agressão ou armas.
        - Ninguém escondeu ativamente o rosto da câmera.
        - Porta do elevador abre normalmente, sem indícios de arrombamento.
        - Toda ação parece relacionada a mudança/transporte de materiais ou equipamentos.","Baixo, pois não há indicadores objetivos de risco observados nas ações registradas. Todas as movimentações são compatíveis com o transporte rotineiro de objetos entre áreas.","Alto, pois as imagens estão claras, com ângulo adequado e as ações não possuem ambiguidade relevante para suspeita de risco ou atividade ilícita.",camera_analyzer_prompt_internal_closed,detailed,,False,False,Alto
event_20250408_154827_fbf1558e,3,motion_detected/event_20250408_154827_fbf1558e/0000_lying_down_20250408_154827_frame.jpg,lying,,"Ambiente interno fechado, provavelmente uma loja de conveniência ou mercado pequeno. Iluminação artificial, ambiente bem iluminado. Imagens da ""Câmera 08"" (CH8), horário na faixa das 17:52.","- Pessoas: Duas pessoas visíveis nas primeiras duas imagens; somente uma na terceira. Uma pessoa está de joelhos/bruços no chão da loja, parecendo se abaixar rapidamente e depois permanecendo deitada ao solo. Outra pessoa está mais distante, próxima ao balcão/caxa, aparentemente em pé.
  - Indicadores Objetivos de Risco:
    - Movimento rápido/errático: A pessoa no primeiro plano se move rapidamente do ajoelhado para deitada, como se estivesse se protegendo de algo, o que pode indicar reação a uma ameaça.
    - Nenhuma das pessoas parece manipular objetos suspeitosamente ou forçar portas/gavetas, nem esconder rosto da câmera.
    - Não há sinal claro de vandalismo, violência ou armas nas imagens.","Alto, devido ao movimento brusco e atípico de uma das pessoas de se jogar ao chão, que pode indicar situação de risco imediata (como tentativa de proteção em caso de ameaça).","Alto, pois as imagens são claras, os ângulos permitem visualizar bem a área (inclusive ações da pessoa deitada), e não há ambiguidade relevante nas ações observadas.",camera_analyzer_prompt_internal_closed,detailed,,False,True,Alto
event_20250403_102654_82623f65,6,motion_detected/event_20250403_102654_82623f65/0001_17204_20250307_002852_frame_20250403_102654_000004.jpg,17204,2025-03-07 00:28:52,"Vista externa de uma rua, aparentemente em local residencial ou comercial de baixo movimento. Imagens noturnas, com iluminação proveniente de luz artificial próxima à edificação e pouca luz na rua. Câmera identificada como ""FRENTE L.D."".","- Pessoas: Não há pessoas visíveis nas imagens.
    - Veículos: Ao fundo, nota-se uma possível luz de veículo (luz vermelha, provavelmente lanterna traseira) afastando-se da propriedade; não há veículos estacionados próximos ou realizando manobras incomuns.
    - Indicadores Objetivos de Risco:
        - Não há sinal de pessoas forçando/manipulando entradas.
        - Não há vadiagem ou permanência suspeita de indivíduos próximos à cerca ou portão.
        - Não há passagens lentas ou repetidas de veículos.
        - Não há veículos estacionados observando a propriedade.
        - Não há motocicletas paradas, desacelerando ou observando nas proximidades.
        - Não há uso aparente de capuzes, máscaras ou bonés.
        - Não há ações coordenadas entre indivíduos.
        - Não há indícios de agressões, violência nem armas.","Baixo, pois não há nenhum indicador de risco observado nas imagens analisadas.","Alto, pois as imagens apresentam boa clareza, com iluminação suficiente na área próxima à propriedade e ângulo adequado para identificar movimentações relevantes. Não há ambiguidade nas ações observadas (ausência de atividades suspeitas).",camera_analyzer_prompt_external_street,detailed,,False,False,Alto
event_20250403_112220_0f05ffe1,6,motion_detected/event_20250403_112220_0f05ffe1/0001_6993_20250307_101724_frame_20250403_112220_000094.jpg,6993,2025-03-07 10:17:24,"Vista de uma área externa privada, provavelmente em um jardim ou passagem lateral, capturada durante o dia (bom nível de iluminação natural). A câmera está posicionada próxima a plantas, com um muro visível à esquerda e vegetação em destaque no centro e à direita. Imagens da ""Câmera 10"".","Não há pessoas visíveis nas imagens. Não são observadas ações suspeitas, nem movimentações junto a portas, janelas, muros ou portões. Não há qualquer indicação de tentativa de intrusão ou presença inusitada.","Baixo, nenhuma evidência de risco objetivo ou atividade suspeita foi identificada nas imagens fornecidas.","Médio, a visão está parcialmente bloqueada por plantas próximas à lente, o que limita a visibilidade de partes da área externa. Porém, a iluminação é adequada e não se observa qualquer sinal de ação suspeita na área visível.",camera_analyzer_prompt_internal_to_outside,detailed,,False,False,Médio
