folder_name,image_count,first_image,cam_id,event_datetime,contexto,pessoas,comportamentos,label,avaliacao,scenario_type,real,predict
event_20250402_133726_41ca0095,8,motion_detected/event_20250402_133726_41ca0095/0001_6890_20250219_153816_frame_20250402_133726_000010.jpg,6890,2025-02-19 15:38:16,"Garagem interna de dia, bem iluminada, com vista para área onde veículos estão estacionados.",Uma pessoa observada transitando pela garagem. A pessoa está caminhando entre os veículos.,A presença da pessoa caminhando pela garagem parece normal e não indica tentativa de acessar indevidamente outras áreas.,"""Camera 08"" e data/hora visíveis.","**Não**, comportamento condizente com o uso apropriado do espaço, sem sinais de risco evidente.",camera_analyzer_prompt_external_street,False,False
event_20250402_142333_c72d52a0,9,motion_detected/event_20250402_142333_c72d52a0/0001_6890_20250219_153905_frame_20250402_142332_000010.jpg,6890,2025-02-19 15:39:05,"Área interna com vista para um espaço coberto, possivelmente garagem. Iluminação diurna.","Duas pessoas visíveis na sequência inicial, movendo-se pela área, depois saem de vista.","A presença das pessoas parece consistente com a movimentação normal em uma garagem, sem comportamento suspeito visível.",Data e hora visíveis na imagem ('02-19-2025 Qua 12:39:21') e 'Camera 08'.,"**Não**, sem sinais de comportamento suspeito ou risco evidente.",camera_analyzer_prompt_external_street,False,False
event_20250408_154828_92f9ba46,3,motion_detected/event_20250408_154828_92f9ba46/0000_stand_20250408_154828_frame.jpg,stand,2025-04-08 15:48:28,"Ambiente interno de loja, bem iluminado, dia.","Um homem caminhando, observando a parede de produtos (parecidos com óculos), sem interação evidente.",Nenhum comportamento de risco visível; a pessoa está apenas observando os produtos.,"CAM 1, data/hora.","**Não**, a pessoa está apenas olhando os produtos sem sinais de comportamento suspeito.",camera_analyzer_prompt_external_street,False,False
event_20250403_113340_c77d7f02,6,motion_detected/event_20250403_113340_c77d7f02/0001_7647_20250307_134155_frame_20250403_113340_000088.jpg,7647,2025-03-07 13:41:55,"Rua residencial, dia com boa iluminação.",Aproximadamente cinco veículos estacionados ou em movimento. Não há pessoas visíveis nas imagens.,"Nenhum comportamento suspeito visível, os veículos estão parados ou em trânsito normal.","""intelbras"", ""frente esquerda"", data e hora visíveis.","**Não**, nenhum sinal de risco aparente.",camera_analyzer_prompt_external_street,False,False
event_20250410_145304_58dfd8c0,15,motion_detected/event_20250410_145304_58dfd8c0/0000_climbing-wall_20250410_145304_frame.jpg,climbing-wall,2025-04-10 14:53:04,"Ambiente externo iluminado, à noite, com visão de uma calçada e jardim em frente a um portão.","Uma pessoa aparece no local perto do portão em sequência, caminhando ao longo da calçada.","A pessoa caminha ao longo do portão e parece espreitar em direção à propriedade, comportamento potencialmente suspeito.",intelbras,"**Sim**, pessoa observada espreitando o local à noite perto do portão, comportamento que pode indicar risco.",camera_analyzer_prompt_external_street,True,True
event_20250408_154827_75a2a6c1,5,motion_detected/event_20250408_154827_75a2a6c1/0000_walk_20250408_154827_frame.jpg,walk,2025-04-08 15:48:27,"Ambiente interno bem iluminado, aparenta ser uma loja.","Uma pessoa próxima a uma prateleira de óculos, usando jaqueta refletiva. Aproximadamente duas outras pessoas ao fundo.",Nenhuma ação suspeita ou comportamento de risco aparente.,CAM 1,"**Não**, não há sinais de comportamento de risco observados.",camera_analyzer_prompt_external_street,True,False
event_20250402_142629_1e214b45,16,motion_detected/event_20250402_142629_1e214b45/0001_6888_20250219_153904_frame_20250402_142629_000001.jpg,6888,2025-02-19 15:39:04,"Elevador interno, bem iluminado.","Duas pessoas são visíveis, uma delas utiliza chinelos e segura plásticos, enquanto a outra pega uma caixa no chão.",Nenhum comportamento de risco evidente. As ações são consistentes com o movimento de objetos sem aparente intenção maliciosa.,"""Câmera 06""","**Não**, não há sinais de ações suspeitas ou risco evidente.",camera_analyzer_prompt_external_street,False,False
event_20250408_154827_fbf1558e,3,motion_detected/event_20250408_154827_fbf1558e/0000_lying_down_20250408_154827_frame.jpg,lying,,"Ambiente interno, iluminação clara, provavelmente uma loja.","Duas pessoas visíveis. Uma está deitada no chão, outra está na parte de trás do balcão.",Uma pessoa deitada no chão pode indicar uma situação de emergência ou perigo. Não há sinal visível do motivo.,CH8,"**Sim**, a posição deitada no chão pode indicar uma situação de risco ou perigo.",camera_analyzer_prompt_external_street,True,True
event_20250403_102654_82623f65,6,motion_detected/event_20250403_102654_82623f65/0001_17204_20250307_002852_frame_20250403_102654_000004.jpg,17204,2025-03-07 00:28:52,Ambiente externo durante a noite. A cena se passa em frente a uma propriedade com calçada e passagem de veículos.,"Nenhuma pessoa visível. Aparente presença de um veículo ao fundo, com luzes vermelhas.",Nenhum comportamento suspeito ou atividade significativa observada nos frames analisados.,"Intelbras, FRENTE L.D","**Não**, não há sinais visíveis de risco ou atividades suspeitas nas imagens fornecidas.",camera_analyzer_prompt_external_street,False,False
event_20250403_112220_0f05ffe1,6,motion_detected/event_20250403_112220_0f05ffe1/0001_6993_20250307_101724_frame_20250403_112220_000094.jpg,6993,2025-03-07 10:17:24,"Área externa privada aparentemente durante o dia, com boa iluminação. A vista é de um jardim ou corredor lateral com plantas.",Nenhuma pessoa ou veículo visível nas imagens.,Nenhum comportamento suspeito ou de risco visível.,"""Camera: 10""","**Não**, não há comportamento suspeito ou sinais de risco nas imagens.",camera_analyzer_prompt_external_street,False,False
