folder_name,image_count,first_image,cam_id,event_datetime,contexto,pessoas,comportamentos,label,avaliacao,real,predict
event_20250402_133726_41ca0095,8,motion_detected/event_20250402_133726_41ca0095/0001_6890_20250219_153816_frame_20250402_133726_000010.jpg,6890,2025-02-19 15:38:16,"Interno, garagem coberta com boa iluminação natural, horário de dia (12:33).","Dois indivíduos são vistos brevemente atravessando o local no início da sequência (um com pasta ou maleta), ambos seguem em direção ao fundo da garagem e depois não retornam ao campo da câmera. Não há interação visível com os veículos.","Nenhum comportamento claramente suspeito ou violento é observável. Os indivíduos parecem caminhar normalmente, sem sinais de pressa ou tentativa de ocultação. Nenhuma interação com os carros, portas ou objetos do ambiente.",Camera 03.,"**Não**, movimentação aparentemente normal sem indícios de ameaça ou ação suspeita.",False,False
event_20250402_142333_c72d52a0,9,motion_detected/event_20250402_142333_c72d52a0/0001_6890_20250219_153905_frame_20250402_142332_000010.jpg,6890,2025-02-19 15:39:05,"Interno, garagem coberta, dia, iluminação clara e adequada.","Duas pessoas aparecem entre os primeiros segundos (frames 1 e 2), deslocando-se a pé da porta ao fundo em direção à direita (uma delas com mochila ou bolsa). Três veículos estacionados, sem movimentação.","Nenhum comportamento suspeito detectado. As pessoas caminham de forma calma e direcionada, sugerindo circulação normal no local.",Camera 08.,"**Não**, circulação normal de pessoas sem alterações perceptíveis em segurança.",False,False
event_20250408_154828_92f9ba46,3,motion_detected/event_20250408_154828_92f9ba46/0000_stand_20250408_154828_frame.jpg,stand,2025-04-08 15:48:28,"Interno, loja bem iluminada durante o dia. Estante de produtos (possivelmente óculos ou relógios) à direita.","Um indivíduo masculino, vestindo calça verde e jaqueta refletiva, entra na loja caminhando lentamente, com as mãos nos bolsos. Ele observa os produtos na prateleira.","Até o momento, não há ações explícitas de risco, mas o comportamento do indivíduo pode ser considerado suspeito por manter as mãos nos bolsos o tempo inteiro e observar os produtos de forma cautelosa e sem interação verbal com vendedores.",CAM 1.,"**Não**, porém comportamento potencialmente suspeito deve ser monitorado se persistir ou houver outra ação subsequente.",False,False
event_20250403_113340_c77d7f02,6,motion_detected/event_20250403_113340_c77d7f02/0001_7647_20250307_134155_frame_20250403_113340_000088.jpg,7647,2025-03-07 13:41:55,"Externo, dia claro, rua residencial com árvores e boa iluminação natural.","Dois carros da polícia (viatura amarela e branca) chegam e param na via. Pelo menos duas pessoas (possivelmente policiais) descem dos veículos e avançam a pé, em direção ao lado esquerdo fora do campo de visão.","Presença de múltiplas viaturas policiais e ação coordenada sugerem possível operação ou abordagem. Não há sinais visíveis de violência ou arrombamento, mas a movimentação policial indica atenção a uma ocorrência próxima ou investigação.",frente esquerda.,"**Sim**, a presença de duas viaturas da polícia e movimentação coordenada dos agentes indicam uma possível ocorrência de risco sendo tratada nas proximidades, embora sem detalhes visíveis do incidente em si.",False,True
event_20250408_154827_75a2a6c1,5,motion_detected/event_20250408_154827_75a2a6c1/0000_walk_20250408_154827_frame.jpg,walk,2025-04-08 15:48:27,"Interno, loja bem iluminada durante o dia (horário na imagem: 15:15). Ambiente comercial, aparentemente uma loja de eletrônicos ou acessórios (painel com itens à venda na parede da direita).","Três pessoas visíveis; um indivíduo (vestindo uniforme verde com jaqueta refletiva) movimenta-se da frente da câmera em direção ao fundo da loja. Inicialmente examina objetos na parede, parece observar o local discretamente e em seguida se afasta. Outra pessoa ao fundo parece ser atendente ou funcionário (atrás do balcão).","O indivíduo analisa o display de forma atenta e isolada, com postura que pode sugerir tentativa de ocultar algo ou planejar uma ação. No entanto, em seguida ele se afasta sem interação direta com os produtos. Não há evidência visual direta de furto ou arrombamento, mas o comportamento é relativamente incomum e pode merecer atenção preventiva.",CAM 1.,"**Não**, porém o comportamento de um dos indivíduos (análise detalhada e rápida retirada do local) pode indicar necessidade de monitoramento adicional ou posterior revisão.",True,False
event_20250402_142629_1e214b45,16,motion_detected/event_20250402_142629_1e214b45/0001_6888_20250219_153904_frame_20250402_142629_000001.jpg,6888,2025-02-19 15:39:04,"Interno, elevador, iluminação artificial adequada, horário de meio-dia.","Dois indivíduos adultos aparecem nas imagens. Um entra no elevador com objetos (um balde e uma ferramenta elétrica), interage com o painel de botões, depois sai. Outro indivíduo (vestido com camiseta verde e boné) entra parcialmente no elevador para pegar uma caixa ou estojo.","Nenhum comportamento suspeito observado. A movimentação aparenta ser típica de transporte de ferramentas ou materiais de trabalho, possivelmente no contexto de serviço ou manutenção. Não há sinal de acesso indevido, vandalismo ou violência.",Câmera 06.,"**Não**, a sequência mostra movimentação normal de pessoas transportando utensílios, sem sinais de anomalia ou risco.",False,False
event_20250408_154827_fbf1558e,3,motion_detected/event_20250408_154827_fbf1558e/0000_lying_down_20250408_154827_frame.jpg,lying,,"Interno, loja de conveniência ou mercado, bem iluminado, horário diurno conforme o relógio (07:52).","Três pessoas visíveis: uma atrás do balcão, uma próxima ao balcão aparentemente interagindo, e uma terceira pessoa no chão, que se move agachada e depois completamente deitada, aparentemente tentando se manter fora da visão.","Comportamento altamente suspeito do indivíduo que se desloca agachado e depois deita no chão entre as gôndolas, sugerindo tentativa de furtar itens sem ser percebido ou evitar uma interação direta (possivelmente evasão ou receio de violência). Pode também indicar que está se escondendo de algo.",CH8.,"**Sim**, movimentação suspeita e furtiva de um indivíduo dentro da loja, em postura de evasão ou conduta deliberadamente oculta.",True,True
event_20250403_102654_82623f65,6,motion_detected/event_20250403_102654_82623f65/0001_17204_20250307_002852_frame_20250403_102654_000004.jpg,17204,2025-03-07 00:28:52,"Externo, noite, iluminação artificial suficiente para visibilidade. Área pavimentada próxima a uma cerca.","Presença de um veículo com luzes acesas ao fundo (do lado de fora da cerca), aparentemente parado. Há pelo menos uma pessoa próxima ao portão/fundo da cerca, porém difícil de distinguir claramente devido à escuridão e distância.","A pessoa permanece próxima ao portão por mais de 10 segundos, o que pode sugerir observação, tentativa de acesso ou comportamento suspeito, embora sem gestos claros de arrombamento. A presença do veículo aumenta o alerta.",FRENTE L.D,"**Sim**, presença suspeita de pessoa do lado externo junto a veículo parado por tempo prolongado, possível tentativa de vigilância para acesso indevido.",False,True
event_20250403_112220_0f05ffe1,6,motion_detected/event_20250403_112220_0f05ffe1/0001_6993_20250307_101724_frame_20250403_112220_000094.jpg,6993,2025-03-07 10:17:24,"Externo, dia, área com vegetação ao lado de uma parede (possivelmente jardim ou muro lateral de imóvel), com boa iluminação natural.",Nenhum visível nos frames da sequência.,Nenhum comportamento suspeito ou sinal aparente de risco. A visualização está parcialmente obstruída por folhagens próximas à lente.,Camera 10.,"**Não**, a área monitorada parece tranquila e não há indícios de ações suspeitas ou insegurança durante esta sequência.",False,False
event_20250403_110345_d4895a53,40,motion_detected/event_20250403_110345_d4895a53/0001_6984_20250307_101724_frame_20250403_110345_000092.jpg,6984,2025-03-07 10:17:24,"Externo, dia, calçada e rua com trânsito moderado; iluminação natural boa.","Um indivíduo sentado sob guarda-sol desde o início, aparentemente segurança ou vigia; várias pessoas passam na calçada em diferentes momentos. Trânsito com fluxo contínuo de veículos (carros de passeio, caminhões, ônibus). Duas pessoas caminham na calçada, atravessam a frente do ponto de vigilância.","Nenhuma ação suspeita evidente, todos os transeuntes se comportam normalmente, não há tentativas de acesso indevido, violência ou comportamentos anômalos.",Camera 01.,"**Não**, trata-se de movimentação urbana normal, sem indícios de risco.",False,False
event_20250402_140834_8e7ff747,6,motion_detected/event_20250402_140834_8e7ff747/0001_6883_20250219_153816_frame_20250402_140834_000092.jpg,6883,2025-02-19 15:38:16,"Externo, dia, calçada e rua com boa iluminação solar.","Um veículo aparece nos frames centrais (frame 0003), passando pela rua no sentido esquerdo-direito. Há algumas pessoas sentadas na calçada à frente, que permanecem na mesma posição ao longo da sequência, sem mudanças perceptíveis.","Nenhum comportamento suspeito ou fora do comum foi identificado. Não há tentativas de acesso, arrombamentos ou atitudes incomuns.",Camera 01.,"**Não**, sem atividade suspeita ou indícios de risco. Trânsito normal e pessoas aparentemente em repouso.",False,False
event_20250403_110902_b869b941,44,motion_detected/event_20250403_110902_b869b941/0001_6994_20250307_101724_frame_20250403_110902_000092.jpg,6994,2025-03-07 10:17:24,"Externo, manhã (07:29), com iluminação natural adequada. Área pavimentada em frente a um edifício, com uma vaga para cadeirante e marcação de faixa amarela. Trânsito leve na rua ao lado.","- Três pessoas diferentes aparecem caminhando pela calçada da rua ao longo da sequência (dois homens nos primeiros instantes e uma mulher posteriormente).
  - Vários veículos passam pela via: carro branco, carro escuro, moto, compactos brancos e prateados, ônibus urbano que para para desembarque.
  - Uma pessoa desembarca do ônibus no último frame analisado.","Nenhum comportamento suspeito detectado. Todas as pessoas estão em trânsito normal pela calçada. Nenhuma tentativa de acesso indevido, vandalismo ou situação de perigo visível.",Camera 11.,"**Não**, a movimentação é típica de início de manhã em área urbana com circulação regular de pedestres e veículos. Nenhum indício de risco ou comportamento incomum identificado.",False,False
event_20250403_110529_22a621b0,11,motion_detected/event_20250403_110529_22a621b0/0001_6985_20250307_101724_frame_20250403_110529_000039.jpg,6985,2025-03-07 10:17:24,"Externo, dia, área de acesso ou estacionamento próximo a via urbana. Iluminação natural adequada.","Duas bicicletas passam na rua, indo da direita para a esquerda. Diversos veículos transitam pela via, além de um carro branco que permanece estacionado durante toda a sequência.","Nenhum comportamento suspeito ou risco evidente. Trânsito parece normal, sem interações incomuns ou tentativas de acesso às áreas internas.",Camera 02.,"**Não**, imagens mostram movimentação rotineira em área externa sem indicativos de comportamento suspeito ou invasivo.",False,False
event_20250408_154826_a42130eb,3,motion_detected/event_20250408_154826_a42130eb/0000_lying_down_20250408_154826_frame.jpg,lying,,"Externo, dia, estacionamento de veículos em via urbana com boa visibilidade.","Duas pessoas envolvidas em um acidente de moto. Ambas estão caídas no chão junto à motocicleta, que está tombada sobre elas.",Acidente evidente envolvendo motocicleta com capotamento; os indivíduos estão no chão e um deles aparenta estar sendo pressionado pela moto. Há risco de lesão grave. Necessária atenção imediata ou socorro.,Não informado.,"**Sim**, colisão/acidente com possíveis feridos caídos no solo requer atenção e intervenção urgente.",True,True
event_20250403_092022_f63db61a,34,motion_detected/event_20250403_092022_f63db61a/0001_55406_20250302_230353_frame_20250403_092017_000043.jpg,55406,2025-03-02 23:03:53,"Externo, noite, via urbana em frente a um edifício residencial; iluminação adequada com luminárias de rua e prédio.","Presença contínua de pedestres — pelo menos cinco pessoas atravessam ou caminham pela calçada ao longo da sequência. Pelo menos quatro veículos em movimento, incluindo dois carros e duas motos, cruzam pelas imagens. Há um casal caminhando junto em direção ao canto inferior direito nas imagens centrais.","Não há comportamentos anormais, suspeitos ou indício de acesso não autorizado. Nenhuma tentativa aparente de invasão ou violência. As pessoas mantêm trajetórias normais de caminhada.",Câmera 01.,"**Não**, todas as atividades observadas são compatíveis com movimento habitual em via pública residencial à noite.",False,False
event_20250408_154826_7490d4e4,2,motion_detected/event_20250408_154826_7490d4e4/0000_lying_down_20250408_154826_frame.jpg,lying,,"Externo, dia, jardim residencial com boa iluminação natural.","1 pessoa visível, caiu dentro de uma pequena piscina plástica no jardim. Três veículos estão estacionados na rua, nenhum em movimento.","Queda acidental na piscina, aparentemente sem gravidade. Nenhum sinal de violência, arrombamento ou atividade suspeita.",FAILARMY ULTIMATE SECURITY CAMERA FAILS.,"**Não**, trata-se de um incidente cômico/acidental sem ameaça à segurança.",True,False
event_20250403_110825_c72ce50a,21,motion_detected/event_20250403_110825_c72ce50a/0001_6994_20250307_101724_frame_20250403_110825_000056.jpg,6994,2025-03-07 10:17:24,"Externo, manhã (07h19), área de estacionamento adjacente à rua, iluminação clara natural.","Múltiplos veículos passam pela rua durante a sequência, sem interação com o estacionamento. Um homem aparece a partir do frame 0010, caminha pela calçada em direção ao canto superior direito da imagem e se afasta. Nenhuma interação suspeita ou invasiva é observada.","Nenhum comportamento suspeito detectado. Nenhuma tentativa de acesso indevido, arrombamento, ou presença incomum. Portões e áreas acessíveis permanecem fechados.",Camera 11.,"**Não**, apenas movimentação normal de trânsito e um pedestre em circulação rotineira, sem sinais de risco aparente.",False,False
event_20250403_115614_921a5ad2,8,motion_detected/event_20250403_115614_921a5ad2/0001_7639_20250307_134155_frame_20250403_115614_000028.jpg,7639,2025-03-07 13:41:55,"Externo, dia, rua urbana com boa iluminação natural.",Um veículo (parece um carro de polícia) passa pela rua e sai do campo de visão. Um outro carro branco está estacionado próximo ao prédio e permanece parado durante toda a sequência. Nenhuma pessoa visível nas proximidades.,"Nenhum comportamento suspeito, nenhuma tentativa de acesso, violência ou sinais de arrombamento.",frente direita.,"**Não**, movimentação normal de veículo em via pública, sem qualquer indício de risco ou atitude suspeita.",False,False
