folder_name,image_count,first_image,cam_id,event_datetime,contexto,pessoas,comportamentos,label,avaliacao
event_20250402_133726_41ca0095,8,motion_detected/event_20250402_133726_41ca0095/0001_6890_20250219_153816_frame_20250402_133726_000010.jpg,6890,2025-02-19 15:38:16,"Interno, estacionamento coberto, dia com boa iluminação natural e artificial.","Dois indivíduos aparecem na sequência. O primeiro entra por uma porta interna, carregando um objeto (aparentemente uma pasta ou bolsa). O segundo surge logo em seguida, aparentemente acompanhando o primeiro. Ambos andam rapidamente em direção à área externa. Pelo menos três carros estão estacionados, sem sinais de movimento.","Não há sinais claros de arrombamento, acessos forçados ou comportamentos anormais. A movimentação dos indivíduos parece fluida e sem pressa excessiva, não indicativa de ação suspeita.",N/A,"**Não** — Não há indícios de acesso não autorizado, violência ou comportamentos suspeitos. A movimentação das pessoas parece natural."
event_20250402_142333_c72d52a0,9,motion_detected/event_20250402_142333_c72d52a0/0001_6890_20250219_153905_frame_20250402_142332_000010.jpg,6890,2025-02-19 15:39:05,"Interno, iluminação natural (provavelmente dia), ambiente de garagem coberta com piso cerâmico e paredes revestidas.","Duas pessoas visíveis inicialmente – uma sai por uma porta (à esquerda no primeiro frame) e outra sai com uma mochila ou bolsa, caminhando em direção à saída da garagem (em direção ao fundo da cena). Dois carros estão estacionados (um em primeiro plano e outro ao fundo à direita), permanecem parados durante toda a sequência.","Nenhum comportamento suspeito ou incomum observado. A movimentação das pessoas aparenta ser normal, sem pressa ou ações suspeitas. Não há sinais de arrombamento ou portas/janelas abertas de veículos.",Camera 08.,"**Não**, movimentação parece rotineira, não há indícios de risco ou comportamento anormal."
event_20250403_113340_c77d7f02,6,motion_detected/event_20250403_113340_c77d7f02/0001_7647_20250307_134155_frame_20250403_113340_000088.jpg,7647,2025-03-07 13:41:55,"Externo, dia, rua residencial com boa iluminação solar.",Múltiplos veículos estacionados. Um veículo identificado como viatura oficial (provavelmente policial) se aproxima e para ao lado direito da via nos últimos frames.,"Presença de viatura pode indicar situação de monitoramento ou ocorrência, mas nenhuma ação suspeita ou atividade anormal é observada durante a sequência.",frente esquerda.,"**Não**, apesar da presença de viatura, não há indícios de comportamento suspeito ou situação de risco visível."
event_20250402_142629_1e214b45,16,motion_detected/event_20250402_142629_1e214b45/0001_6888_20250219_153904_frame_20250402_142629_000001.jpg,6888,2025-02-19 15:39:04,"Interno, elevador, iluminação adequada, dia (12:39 pelo timestamp).","Dois indivíduos aparecem ao longo da sequência:
  - Um homem já está no elevador desde o início, trajando branco e usando chinelos. Ele interage com os botões do elevador e manipula objetos no chão.
  - Um segundo indivíduo adentra a cena no último frame, pega uma caixa/cesto no chão do elevador.","Nenhum comportamento claramente suspeito ou agressivo. Os indivíduos parecem estar se deslocando normalmente com objetos pessoais (um transporta um cesto com roupas ou itens domésticos, outro pega uma caixa plástica).",Camera 06.,"**Não**, a sequência mostra interações típicas de uso do elevador com transporte de objetos, sem sinais de risco ou comportamento anormal."
event_20250403_102654_82623f65,6,motion_detected/event_20250403_102654_82623f65/0001_17204_20250307_002852_frame_20250403_102654_000004.jpg,17204,2025-03-07 00:28:52,"Externo, noite, área pavimentada ao lado de uma via com cerca metálica; iluminação artificial suficiente para visibilidade.",Um veículo com faróis acesos aparece na rua nos primeiros frames; duas pessoas são visíveis próximas ao portão no canto superior direito a partir do segundo frame. Aparentemente estão paradas ou tentando interagir com o portão.,"Possível tentativa de acesso ao local por parte dos indivíduos próximos ao portão, em área externa e isolada no horário noturno. Não é possível confirmar ações agressivas, mas o comportamento é suspeito.",FRENTE L.D.,"**Sim**, presença de indivíduos junto ao portão em horário noturno com possível intenção de acesso não autorizado."
event_20250403_112220_0f05ffe1,6,motion_detected/event_20250403_112220_0f05ffe1/0001_6993_20250307_101724_frame_20250403_112220_000094.jpg,6993,2025-03-07 10:17:24,"Externo, dia, vegetação densa em área murada próxima a construção.",Nenhum visível.,Nenhum comportamento suspeito ou sinal de risco aparente; a visão está parcialmente obstruída por folhas em primeiro plano.,Camera 10.,"**Não**, nenhuma atividade humana, veicular ou sinal de invasão ou violação detectado."
event_20250403_110345_d4895a53,40,motion_detected/event_20250403_110345_d4895a53/0001_6984_20250307_101724_frame_20250403_110345_000092.jpg,6984,2025-03-07 10:17:24,"Externo, dia, área de estacionamento em frente a uma calçada urbana. Iluminação natural adequada.","Um indivíduo sentado sob um guarda-sol permanece imóvel durante toda a sequência. Um carro prata passa pela rua da direita para a esquerda, sem parar.",Nenhum comportamento suspeito ou incomum. Trânsito normal e indivíduo aparentemente realizando atividade autorizada (possivelmente vigilante).,Camera 01.,"**Não**, não há indícios de comportamento suspeito ou risco evidente no local."
event_20250402_140834_8e7ff747,6,motion_detected/event_20250402_140834_8e7ff747/0001_6883_20250219_153816_frame_20250402_140834_000092.jpg,6883,2025-02-19 15:38:16,"Externo, dia, via urbana com calçada e arborização, boa iluminação natural.","Um veículo escuro aparece transitando pela rua no terceiro frame e rapidamente sai do campo de visão. Dois indivíduos estão sentados ao fundo da calçada durante toda a sequência, aparentemente sem alterações de comportamento.",Nenhum comportamento suspeito ou sinal de risco visível. Circulação normal de veículo e transeuntes.,Camera 01.,"**Não**, ambiente calmo, sem atividades suspeitas ou riscos aparentes."
event_20250403_110902_b869b941,44,motion_detected/event_20250403_110902_b869b941/0001_6994_20250307_101724_frame_20250403_110902_000092.jpg,6994,2025-03-07 10:17:24,"Externo, manhã (07:29), iluminação natural, área de estacionamento pavimentada, próximo a uma rua.",Dois indivíduos caminham na calçada no início da sequência e saem do enquadramento. Um carro prata aparece ao fundo e atravessa a cena.,Nenhum comportamento suspeito identificado. Movimentos normais de pedestres e veículo em trânsito.,Camera 11.,"**Não**, movimentação comum e sem indícios de risco à segurança."
event_20250403_110529_22a621b0,11,motion_detected/event_20250403_110529_22a621b0/0001_6985_20250307_101724_frame_20250403_110529_000039.jpg,6985,2025-03-07 10:17:24,"Externo, dia, entrada de estacionamento com boa iluminação natural.","Dois veículos visíveis. Um carro branco está parado ou se movimentando muito lentamente próximo ao portão. Um segundo carro escuro passa pela via, aparentemente sem interação com o local monitorado.",Nenhum comportamento suspeito aparente; os veículos estão apenas transitando ou aguardando. Nenhuma ação fora do comum observada.,Camera 02.,"**Não**, a sequência mostra apenas trânsito rotineiro próximo a um estacionamento, sem indícios de risco ou atividades suspeitas."
