folder_name,image_count,first_image,cam_id,event_datetime,contexto,pessoas,comportamentos,label,avaliacao
event_20250402_133726_41ca0095,8,motion_detected/event_20250402_133726_41ca0095/0001_6890_20250219_153816_frame_20250402_133726_000010.jpg,6890,2025-02-19 15:38:16,"Interno, garagem coberta, dia, boa iluminação natural.","Um indivíduo aparece nos primeiros segundos caminhando da porta (provavelmente de acesso interno) em direção ao fundo da garagem, carregando um objeto (aparentemente uma pasta ou maleta). Após isso, não há mais movimentação visível de pessoas ou veículos.","Nenhum comportamento suspeito ou sinal de risco evidente. A pessoa parece estar transitando normalmente, sem sinais de tentativa de acesso forçado ou comportamento incomum.",Camera 08.,"**Não**, movimentação normal de pessoa em área de garagem, sem indícios de ação suspeita."
event_20250402_142333_c72d52a0,9,motion_detected/event_20250402_142333_c72d52a0/0001_6890_20250219_153905_frame_20250402_142332_000010.jpg,6890,2025-02-19 15:39:05,"Interno, garagem coberta, dia, boa iluminação natural.","Dois indivíduos aparecem nos primeiros segundos. Um deles sai por uma porta à esquerda (aparentemente vindo de dentro do prédio), e o outro caminha em direção à saída carregando uma sacola ou mochila. Após isso, não há mais movimentação visível de pessoas. Dois veículos estão estacionados e permanecem imóveis durante toda a sequência.","Nenhum comportamento suspeito ou anormal detectado. A movimentação dos indivíduos parece normal, sem sinais de tentativa de arrombamento, invasão ou acesso indevido.",Camera 08.,"**Não**, movimentação típica de pessoas em garagem, sem indícios de risco."
event_20250403_113340_c77d7f02,6,motion_detected/event_20250403_113340_c77d7f02/0001_7647_20250307_134155_frame_20250403_113340_000088.jpg,7647,2025-03-07 13:41:55,"Externo, dia, rua residencial com boa iluminação natural.","Três veículos visíveis inicialmente estacionados. Ao longo da sequência, dois carros com pintura característica de viaturas (provavelmente policiais) se aproximam e estacionam. Não há pessoas visíveis fora dos veículos.","A chegada de duas viaturas pode indicar uma resposta a algum incidente, mas não há ações suspeitas ou comportamentos anormais visíveis nas imagens analisadas.",frente esquerda.,"**Não**, apesar da presença de viaturas, não há indícios visuais de risco ou atividade suspeita nas imagens fornecidas."
event_20250402_142629_1e214b45,16,motion_detected/event_20250402_142629_1e214b45/0001_6888_20250219_153904_frame_20250402_142629_000001.jpg,6888,2025-02-19 15:39:04,"Interno, elevador, boa iluminação, horário diurno (12:39).","Duas pessoas aparecem na sequência. Um homem entra no elevador com uma caixa de ferramentas e um balde com objetos. Em seguida, outro homem (com boné e roupa verde) entra, pega a caixa de ferramentas e ambos saem do elevador.","Nenhum comportamento suspeito ou violento observado. A movimentação parece rotineira, possivelmente relacionada a manutenção ou serviço.",Camera 06.,"**Não**, movimentação normal de pessoas com equipamentos, sem sinais de acesso indevido ou comportamento suspeito."
event_20250403_102654_82623f65,6,motion_detected/event_20250403_102654_82623f65/0001_17204_20250307_002852_frame_20250403_102654_000004.jpg,17204,2025-03-07 00:28:52,"Externo, noite, iluminação artificial direcionada à área próxima ao muro e entrada lateral.","Um veículo com faróis acesos aparece ao fundo nos primeiros frames, aparentemente parado. Há pelo menos uma pessoa visível próxima ao portão nos frames iniciais, mas ela se afasta ou se esconde nos frames seguintes.","A presença de uma pessoa próxima ao portão em horário noturno, com um veículo parado nas proximidades, pode indicar comportamento suspeito. A pessoa parece se mover discretamente ou se esconder, o que pode sugerir tentativa de observação ou invasão.",FRENTE L.D,"**Sim**, há indícios de comportamento suspeito com possível tentativa de acesso não autorizado, especialmente considerando o horário e a movimentação discreta da pessoa."
event_20250403_112220_0f05ffe1,6,motion_detected/event_20250403_112220_0f05ffe1/0001_6993_20250307_101724_frame_20250403_112220_000094.jpg,6993,2025-03-07 10:17:24,"Externo, dia, área com vegetação próxima a uma parede.",Nenhum visível.,Nenhum comportamento suspeito ou sinal de risco aparente. A visão está parcialmente obstruída por folhas em primeiro plano.,Camera 10.,"**Não**, não há indícios de atividade suspeita ou risco visível nesta sequência."
event_20250403_110345_d4895a53,40,motion_detected/event_20250403_110345_d4895a53/0001_6984_20250307_101724_frame_20250403_110345_000092.jpg,6984,2025-03-07 10:17:24,"Externo, manhã (iluminação natural clara), área de estacionamento em frente a uma rua movimentada.","- Um indivíduo está sentado sob um guarda-sol durante toda a sequência, aparentemente um vigilante ou porteiro.
  - Diversos veículos passam pela rua (carros de passeio, SUV, caminhonete e ônibus).
  - Três pedestres atravessam a rua da direita para a esquerda, passando pela frente do ônibus.",Nenhum comportamento suspeito ou fora do comum observado. Trânsito e movimentação de pedestres normais para o horário e local.,Camera 01.,"**Não**, não há indícios de risco ou atividade suspeita. Tudo indica movimentação urbana rotineira."
event_20250402_140834_8e7ff747,6,motion_detected/event_20250402_140834_8e7ff747/0001_6883_20250219_153816_frame_20250402_140834_000092.jpg,6883,2025-02-19 15:38:16,"Externo, dia, calçada e rua com boa iluminação solar.","Um veículo escuro aparece brevemente no terceiro frame, transitando pela rua da esquerda para a direita. Há duas pessoas sentadas no banco da calçada à direita, visíveis em todos os frames.",Nenhum comportamento suspeito ou sinal de risco aparente. As pessoas permanecem sentadas e o veículo apenas passa pela via.,Camera 01.,"**Não**, não há indícios de risco ou atividade suspeita na sequência observada."
event_20250403_110902_b869b941,44,motion_detected/event_20250403_110902_b869b941/0001_6994_20250307_101724_frame_20250403_110902_000092.jpg,6994,2025-03-07 10:17:24,"Externo, manhã (07:29), iluminação natural adequada, área de estacionamento com marcação de vaga PCD e faixa amarela de pedestres.","- Três pedestres aparecem ao longo da sequência: dois homens caminhando juntos no início e uma mulher caminhando sozinha posteriormente.
  - Diversos veículos passam pela rua: carros, motocicleta e um ônibus que para para embarque/desembarque.
  - A mulher caminha paralelamente à rua e depois para próximo ao ponto de ônibus, onde outra pessoa embarca.",Nenhum comportamento suspeito ou fora do comum observado. Trânsito e movimentação de pedestres normais para o horário e local.,Camera 11.,"**Não**, movimentação típica de pedestres e veículos em via urbana, sem sinais de risco ou comportamento suspeito."
event_20250403_110529_22a621b0,11,motion_detected/event_20250403_110529_22a621b0/0001_6985_20250307_101724_frame_20250403_110529_000039.jpg,6985,2025-03-07 10:17:24,"Externo, dia, área de estacionamento com boa iluminação natural.","Dois ciclistas passam pela rua, e vários veículos transitam (carros brancos e escuros). Um carro branco permanece estacionado na rua durante toda a sequência.",Nenhum comportamento suspeito ou incomum observado. Trânsito e movimentação de ciclistas parecem normais.,Camera 02.,"**Não**, movimentação típica de rua sem sinais de risco ou comportamento suspeito."
